"服务器","玩家id","账号","等级","金额","代理","订单号","充值时间"
"台湾30服","29000365","506543254","234","1490","taiwanios","016003000290003651522509817881	","2018-03-31 23:23:37"
"台湾25服","24002882","101485127","257","150","taiwanios","016002500240028821522509814979	","2018-03-31 23:23:34"
"台湾30服","29000365","506543254","234","1490","taiwanios","016003000290003651522509692368	","2018-03-31 23:21:32"
"台湾32服","31000249","11719003","184","150","taiwanios","016003200310002491522509524115	","2018-03-31 23:18:44"
"台湾28服","27002744","110895413","226","150","taiwanios","016002800270027441522509477987	","2018-03-31 23:17:57"
"台湾20服","19000167","110788411","329","90","taiwanios","016002000190001671522509353654	","2018-03-31 23:15:53"
"台湾32服","31002852","508150450","36","30","taiwanios","016003200310028521522509329371	","2018-03-31 23:15:29"
"台湾32服","31001785","110924435","161","30","taiwanios","016003200310017851522509292102	","2018-03-31 23:14:52"
"台湾31服","30003707","110918921","143","590","taiwanios","016003100300037071522509227626	","2018-03-31 23:13:47"
"台湾32服","31002846","7677170","35","30","taiwanios","016003200310028461522509215222	","2018-03-31 23:13:35"
"台湾14服","13001467","7177700","349","300","taiwanios","180331231005315523	","2018-03-31 23:12:27"
"台湾32服","31002390","45214008","146","590","taiwanios","016003200310023901522509046098	","2018-03-31 23:10:46"
"台湾14服","13001881","45415788","353","300","taiwanios","180331230445264073	","2018-03-31 23:08:50"
"台湾32服","31002853","506875438","1","890","taiwanios","016003200310028531522508900907	","2018-03-31 23:08:20"
"台湾32服","31002164","17008930","38","30","taiwanios","016003200310021641522508692459	","2018-03-31 23:04:52"
"台湾28服","27000401","508111170","235","150","taiwanios","016002800270004011522508595504	","2018-03-31 23:03:15"
"台湾25服","24004260","508114298","259","150","taiwanios","180331230114130119	","2018-03-31 23:03:09"
"台湾30服","29002121","506756694","187","1490","taiwanios","016003000290021211522508428211	","2018-03-31 23:00:28"
"台湾22服","21002664","100191099","288","150","taiwanios","016002200210026641522508420256	","2018-03-31 23:00:20"
"台湾10服","9005840","15018358","160","590","taiwanios","016001000090058401522508289601	","2018-03-31 22:58:09"
"台湾32服","31002169","7396642","180","300","taiwanios","016003200310021691522508228430	","2018-03-31 22:57:08"
"台湾23服","22003592","1174266","258","500","taiwanios","180331225426948288	","2018-03-31 22:56:45"
"台湾26服","25002840","508096312","242","890","taiwanios","016002600250028401522508204852	","2018-03-31 22:56:44"
"台湾28服","27000401","508111170","235","300","taiwanios","016002800270004011522508190527	","2018-03-31 22:56:30"
"台湾29服","28001810","23437477","258","500","taiwanios","180331225450154903	","2018-03-31 22:55:55"
"台湾26服","25003915","5768203","246","590","taiwanios","016002600250039151522507979929	","2018-03-31 22:52:59"
"台湾28服","27000401","508111170","235","300","taiwanios","016002800270004011522507937690	","2018-03-31 22:52:17"
"台湾26服","25002872","110874361","278","300","taiwanios","180331225029227525	","2018-03-31 22:52:08"
"台湾32服","31002110","508148622","106","30","taiwanios","016003200310021101522507843322	","2018-03-31 22:50:43"
"台湾7服","6004929","19519712","37","30","taiwanios","016000700060049291522507733954	","2018-03-31 22:48:53"
"台湾27服","26002071","110883571","271","590","taiwanios","016002700260020711522507713822	","2018-03-31 22:48:33"
"台湾32服","31000554","107827283","179","30","taiwanios","016003200310005541522507655056	","2018-03-31 22:47:35"
"台湾23服","22001673","3440943","289","150","taiwanios","180331224449994384	","2018-03-31 22:47:17"
"台湾26服","25000199","503405590","283","300","taiwanios","016002600250001991522507610454	","2018-03-31 22:46:50"
"台湾31服","30002453","13094255","209","1490","taiwanios","016003100300024531522507605413	","2018-03-31 22:46:45"
"台湾32服","31002759","9504031","14","30","taiwanios","016003200310027591522507529155	","2018-03-31 22:45:29"
"台湾14服","13003977","110780717","317","1000","taiwanios","180331224009583196	","2018-03-31 22:43:57"
"台湾14服","13003977","110780717","317","150","taiwanios","180331223904825896	","2018-03-31 22:43:57"
"台湾32服","31002620","102005041","87","30","taiwanios","016003200310026201522507424792	","2018-03-31 22:43:44"
"台湾32服","31000249","11719003","183","590","taiwanios","016003200310002491522507394519	","2018-03-31 22:43:14"
"台湾32服","31002741","508150138","15","30","taiwanios","016003200310027411522507338041	","2018-03-31 22:42:18"
"台湾31服","30003128","1270891","160","150","taiwanios","016003100300031281522507326421	","2018-03-31 22:42:06"
"台湾15服","14005167","23278681","70","50","taiwanios","180331221843952467	","2018-03-31 22:41:48"
"台湾12服","11007075","508036360","272","30","taiwanios","016001200110070751522507299156	","2018-03-31 22:41:39"
"台湾32服","31002169","7396642","176","590","taiwanios","016003200310021691522507269898	","2018-03-31 22:41:09"
"台湾32服","31000249","11719003","183","300","taiwanios","016003200310002491522507192371	","2018-03-31 22:39:52"
"台湾32服","31002696","501114330","49","30","taiwanios","016003200310026961522507074964	","2018-03-31 22:37:54"
"台湾32服","31002390","45214008","131","30","taiwanios","016003200310023901522506965461	","2018-03-31 22:36:05"
"台湾32服","31002390","45214008","131","30","taiwanios","016003200310023901522506867316	","2018-03-31 22:34:27"
"台湾14服","13001790","110778429","346","300","taiwanios","180331222806536261	","2018-03-31 22:33:38"
"台湾30服","29001928","508074558","215","50","taiwanios","180331223100756174	","2018-03-31 22:33:33"
"台湾1服 ","10261","1362960","166","30","taiwanios","016000100000102611522506791712	","2018-03-31 22:33:11"
"台湾26服","25002301","103094881","278","150","taiwanios","016002600250023011522506735388	","2018-03-31 22:32:15"
"台湾28服","27000628","110889191","264","150","taiwanios","016002800270006281522506703095	","2018-03-31 22:31:43"
"台湾30服","29002460","110909897","202","30","taiwanios","016003000290024601522506651136	","2018-03-31 22:30:51"
"台湾18服","17004202","110803843","296","150","taiwanios","180331222806457492	","2018-03-31 22:29:57"
"台湾2服","1000244","17869817","363","150","taiwanios","016000200010002441522506390972	","2018-03-31 22:26:30"
"台湾32服","31002650","108854681","41","30","taiwanios","016003200310026501522506371095	","2018-03-31 22:26:11"
"台湾18服","17003281","5633148","277","150","taiwanios","016001800170032811522506309405	","2018-03-31 22:25:09"
"台湾18服","17000345","21730201","350","2990","taiwanios","016001800170003451522506268545	","2018-03-31 22:24:28"
"台湾27服","26001347","110881371","262","500","taiwanios","180331222325543360	","2018-03-31 22:24:24"
"台湾30服","29000141","3446750","223","30","taiwanios","016003000290001411522506194583	","2018-03-31 22:23:14"
"台湾31服","30002166","110916075","192","590","taiwanios","016003100300021661522506163096	","2018-03-31 22:22:43"
"台湾32服","31002636","508105676","43","30","taiwanios","016003200310026361522506099180	","2018-03-31 22:21:39"
"台湾32服","31002587","508149770","59","30","taiwanios","016003200310025871522506062176	","2018-03-31 22:21:02"
"台湾29服","28000263","23521404","234","300","taiwanios","016002900280002631522506055583	","2018-03-31 22:20:55"
"台湾29服","28003151","500176574","10","30","taiwanios","016002900280031511522505951654	","2018-03-31 22:19:11"
"台湾32服","31002390","45214008","118","300","taiwanios","016003200310023901522505922170	","2018-03-31 22:18:42"
"台湾32服","31000664","1628376","97","30","taiwanios","016003200310006641522505770706	","2018-03-31 22:16:10"
"台湾32服","31001179","110814145","164","890","taiwanios","016003200310011791522505606055	","2018-03-31 22:13:26"
"台湾26服","25002473","23904339","254","1490","taiwanios","016002600250024731522505605930	","2018-03-31 22:13:25"
"台湾32服","31002476","9362238","99","30","taiwanios","016003200310024761522505602246	","2018-03-31 22:13:22"
"台湾32服","31000664","1628376","97","90","taiwanios","016003200310006641522505483538	","2018-03-31 22:11:23"
"台湾30服","29001242","110907057","242","150","taiwanios","016003000290012421522505460170	","2018-03-31 22:11:00"
"台湾32服","31000532","110921625","171","150","taiwanios","016003200310005321522505394893	","2018-03-31 22:09:54"
"台湾3服","2001288","110197089","343","300","taiwanios","016000300020012881522505393403	","2018-03-31 22:09:53"
"台湾32服","31001014","110813707","186","500","taiwanios","180331220844565299	","2018-03-31 22:09:51"
"台湾23服","22003704","23436893","32","30","taiwanios","016002300220037041522505388515	","2018-03-31 22:09:48"
"台湾18服","17000574","508019374","299","1490","taiwanios","016001800170005741522505319003	","2018-03-31 22:08:39"
"台湾32服","31000532","110921625","171","590","taiwanios","016003200310005321522505293069	","2018-03-31 22:08:13"
"台湾32服","31002354","110925741","104","150","taiwanios","016003200310023541522505235023	","2018-03-31 22:07:15"
"台湾21服","20001377","507974310","285","150","taiwanios","180331220559119642	","2018-03-31 22:06:59"
"台湾27服","26000947","103842843","282","590","taiwanios","016002700260009471522505208361	","2018-03-31 22:06:48"
"台湾7服","6004744","108707167","221","30","taiwanios","016000700060047441522505194540	","2018-03-31 22:06:34"
"台湾32服","31000039","1949959","191","590","taiwanios","016003200310000391522505189669	","2018-03-31 22:06:29"
"台湾12服","11001085","110764127","364","2990","taiwanios","016001200110010851522505123175	","2018-03-31 22:05:23"
"台湾31服","30003303","508141230","205","2990","taiwanios","016003100300033031522505096245	","2018-03-31 22:04:56"
"台湾28服","27000770","508112418","268","590","taiwanios","016002800270007701522505054958	","2018-03-31 22:04:14"
"台湾30服","29000346","5386984","150","150","taiwanios","016003000290003461522505027927	","2018-03-31 22:03:47"
"台湾30服","29000322","508127460","224","590","taiwanios","016003000290003221522504950307	","2018-03-31 22:02:30"
"台湾30服","29000072","107688575","250","890","taiwanios","016003000290000721522504842952	","2018-03-31 22:00:42"
"台湾27服","26000199","110877695","250","150","taiwanios","016002700260001991522504742894	","2018-03-31 21:59:02"
"台湾26服","25002962","9509267","168","30","taiwanios","016002600250029621522504714522	","2018-03-31 21:58:34"
"台湾25服","24002054","504241478","279","30","taiwanios","016002500240020541522504689752	","2018-03-31 21:58:09"
"台湾19服","18000449","504212910","314","150","taiwanios","180331215605365108	","2018-03-31 21:58:04"
"台湾7服","6004744","108707167","221","30","taiwanios","016000700060047441522504589763	","2018-03-31 21:56:29"
"台湾25服","24001221","508077592","260","500","taiwanios","180331215406144572	","2018-03-31 21:56:06"
"台湾20服","19002161","110773391","296","150","taiwanios","180331215410745252	","2018-03-31 21:54:59"
"台湾7服","6002814","23557939","269","300","taiwanios","016000700060028141522504497897	","2018-03-31 21:54:57"
"台湾30服","29000226","110899729","239","1000","taiwanios","180331215331583672	","2018-03-31 21:54:50"
"台湾7服","6004744","108707167","221","150","taiwanios","016000700060047441522504462843	","2018-03-31 21:54:22"
"台湾23服","22002264","110834387","290","150","taiwanios","016002300220022641522504385663	","2018-03-31 21:53:05"
"台湾21服","20002612","508041292","310","150","taiwanios","016002100200026121522504342812	","2018-03-31 21:52:22"
"台湾31服","30000041","506383072","208","400","taiwanios","180331215036385994	","2018-03-31 21:51:15"
"台湾7服","6004744","108707167","221","150","taiwanios","016000700060047441522504173348	","2018-03-31 21:49:33"
"台湾31服","30003713","100431877","207","2990","taiwanios","016003100300037131522503868768	","2018-03-31 21:44:28"
"台湾26服","25000652","110867415","268","150","taiwanios","180331213824785539	","2018-03-31 21:39:44"
"台湾25服","24004426","19201096","53","150","taiwanios","016002500240044261522503521244	","2018-03-31 21:38:41"
"台湾18服","17003281","5633148","276","300","taiwanios","016001800170032811522503518780	","2018-03-31 21:38:38"
"台湾30服","29001332","505665026","244","1490","taiwanios","016003000290013321522503448475	","2018-03-31 21:37:28"
"台湾25服","24001535","504624098","255","30","taiwanios","016002500240015351522503391713	","2018-03-31 21:36:31"
"台湾21服","20000070","504523060","338","150","taiwanios","016002100200000701522503258432	","2018-03-31 21:34:18"
"台湾3服","2004973","102563253","319","30","taiwanios","016000300020049731522503173781	","2018-03-31 21:32:53"
"台湾30服","29001693","508130896","244","1490","taiwanios","016003000290016931522503063956	","2018-03-31 21:31:03"
"台湾1服 ","10555","21719720","3","30","taiwanios","016000100000105551522502939473	","2018-03-31 21:28:59"
"台湾1服 ","10555","21719720","3","90","taiwanios","016000100000105551522502857114	","2018-03-31 21:27:37"
"台湾25服","24001679","110857503","260","150","taiwanios","016002500240016791522502812778	","2018-03-31 21:26:52"
"台湾24服","23001803","110845599","269","50","taiwanios","180331212502188545	","2018-03-31 21:26:02"
"台湾20服","19000337","1625376","292","150","taiwanios","180331212316370214	","2018-03-31 21:24:43"
"台湾31服","30004535","508149340","18","30","taiwanios","016003100300045351522502652683	","2018-03-31 21:24:12"
"台湾24服","23001803","110845599","269","50","taiwanios","180331211703207376	","2018-03-31 21:20:36"
"台湾32服","31001112","503245034","18","30","taiwanios","016003200310011121522502413521	","2018-03-31 21:20:13"
"台湾26服","25001155","508091078","298","150","taiwanios","016002600250011551522502267120	","2018-03-31 21:17:47"
"台湾13服","12004850","109061191","311","300","taiwanios","016001300120048501522502256789	","2018-03-31 21:17:36"
"台湾32服","31002409","5799126","7","30","taiwanios","016003200310024091522502250388	","2018-03-31 21:17:30"
"台湾10服","9000712","507968448","314","150","taiwanios","016001000090007121522502218367	","2018-03-31 21:16:58"
"台湾32服","31001926","23909362","142","150","taiwanios","016003200310019261522502170531	","2018-03-31 21:16:10"
"台湾30服","29000338","13089482","226","150","taiwanios","016003000290003381522502129146	","2018-03-31 21:15:29"
"台湾21服","20001718","508040052","284","90","taiwanios","016002100200017181522502090803	","2018-03-31 21:14:50"
"台湾32服","31002390","45214008","12","150","taiwanios","016003200310023901522502039051	","2018-03-31 21:13:59"
"台湾32服","31002386","106690889","12","30","taiwanios","016003200310023861522501994697	","2018-03-31 21:13:14"
"台湾32服","31002386","106690889","10","90","taiwanios","016003200310023861522501900484	","2018-03-31 21:11:40"
"台湾32服","31002381","508149252","8","30","taiwanios","016003200310023811522501866169	","2018-03-31 21:11:06"
"台湾32服","31002354","110925741","29","30","taiwanios","016003200310023541522501792593	","2018-03-31 21:09:52"
"台湾26服","25002950","508096708","242","300","taiwanios","016002600250029501522501764146	","2018-03-31 21:09:24"
"台湾16服","15001046","110788203","330","300","taiwanios","180331210814600258	","2018-03-31 21:08:47"
"台湾32服","31002368","19180999","4","30","taiwanios","016003200310023681522501633743	","2018-03-31 21:07:13"
"台湾12服","11007308","505637144","18","30","taiwanios","016001200110073081522501504104	","2018-03-31 21:05:04"
"台湾32服","31002330","508149132","9","30","taiwanios","016003200310023301522501195437	","2018-03-31 20:59:55"
"台湾29服","28002719","110903275","178","150","taiwanios","016002900280027191522501150211	","2018-03-31 20:59:10"
"台湾31服","30004512","5086771","111","30","taiwanios","016003100300045121522501147072	","2018-03-31 20:59:07"
"台湾17服","16005157","110805453","275","30","taiwanios","016001700160051571522501125215	","2018-03-31 20:58:45"
"台湾27服","26000891","110879891","258","30","taiwanios","016002700260008911522501048726	","2018-03-31 20:57:28"
"台湾23服","22001814","508053632","270","150","taiwanios","016002300220018141522501036348	","2018-03-31 20:57:16"
"台湾32服","31002302","502518776","18","30","taiwanios","016003200310023021522501033861	","2018-03-31 20:57:13"
"台湾1服 ","10469","508145914","151","30","taiwanios","016000100000104691522501030973	","2018-03-31 20:57:10"
"台湾32服","31002311","508141590","8","150","taiwanios","016003200310023111522501021814	","2018-03-31 20:57:01"
"台湾24服","23002329","110847623","280","590","taiwanios","016002400230023291522500990651	","2018-03-31 20:56:30"
"台湾9服","8002996","110745789","363","100","taiwanios","180331205452786979	","2018-03-31 20:56:26"
"台湾31服","30000041","506383072","205","1000","taiwanios","180331205521377067	","2018-03-31 20:56:19"
"台湾31服","30000980","21858373","231","2990","taiwanios","016003100300009801522500940279	","2018-03-31 20:55:40"
"台湾31服","30003880","110919311","167","150","taiwanios","016003100300038801522500828860	","2018-03-31 20:53:48"
"台湾18服","17000722","5285399","308","150","taiwanios","180331204941973011	","2018-03-31 20:51:54"
"台湾18服","17002507","110801263","360","3000","taiwanios","180331204852253536	","2018-03-31 20:49:03"
"台湾1服 ","10531","15201696","108","30","taiwanios","016000100000105311522500493721	","2018-03-31 20:48:13"
"台湾32服","31000554","107827283","176","300","taiwanios","016003200310005541522500337444	","2018-03-31 20:45:37"
"台湾23服","22001131","508051068","260","590","taiwanios","016002300220011311522500260488	","2018-03-31 20:44:20"
"台湾27服","26000891","110879891","258","150","taiwanios","016002700260008911522500255118	","2018-03-31 20:44:15"
"台湾19服","18004095","508031912","295","1000","taiwanios","180331204018693304	","2018-03-31 20:43:25"
"台湾31服","30000665","23676716","222","300","taiwanios","016003100300006651522500107443	","2018-03-31 20:41:47"
"台湾32服","31000880","13907684","185","890","taiwanios","016003200310008801522500059578	","2018-03-31 20:40:59"
"台湾32服","31002233","102757295","10","30","taiwanios","016003200310022331522500016049	","2018-03-31 20:40:16"
"台湾27服","26000517","1090073","274","300","taiwanios","180331203806466444	","2018-03-31 20:40:05"
"台湾18服","17003218","110802287","301","150","taiwanios","016001800170032181522499909540	","2018-03-31 20:38:29"
"台湾12服","11002584","45419042","290","30","taiwanios","016001200110025841522499892560	","2018-03-31 20:38:12"
"台湾23服","22003059","5079977","279","300","taiwanios","016002300220030591522499824327	","2018-03-31 20:37:04"
"台湾32服","31001738","508147838","103","30","taiwanios","016003200310017381522499776452	","2018-03-31 20:36:16"
"台湾18服","17000217","5421330","316","590","taiwanios","016001800170002171522499666749	","2018-03-31 20:34:26"
"台湾22服","21003140","508046600","266","150","taiwanios","016002200210031401522499602739	","2018-03-31 20:33:22"
"台湾31服","30002683","103120255","168","30","taiwanios","016003100300026831522499593989	","2018-03-31 20:33:13"
"台湾8服","7000411","507915046","363","500","taiwanios","180331203011400035	","2018-03-31 20:30:50"
"台湾2服","1004760","504267846","178","300","taiwanios","016000200010047601522499400321	","2018-03-31 20:30:00"
"台湾17服","16005231","110811897","299","150","taiwanios","016001700160052311522499361848	","2018-03-31 20:29:21"
"台湾15服","14004983","25953836","283","300","taiwanios","016001500140049831522499325367	","2018-03-31 20:28:45"
"台湾32服","31002171","508092734","19","30","taiwanios","016003200310021711522499255365	","2018-03-31 20:27:35"
"台湾13服","12005477","110808951","268","350","taiwanios","180331202245715747	","2018-03-31 20:26:39"
"台湾2服","1004760","504267846","177","590","taiwanios","016000200010047601522499170323	","2018-03-31 20:26:10"
"台湾32服","31002169","7396642","15","590","taiwanios","016003200310021691522499156597	","2018-03-31 20:25:56"
"台湾23服","22003269","21527429","281","150","taiwanios","016002300220032691522499141546	","2018-03-31 20:25:41"
"台湾32服","31002093","105240383","27","30","taiwanios","016003200310020931522499105276	","2018-03-31 20:25:05"
"台湾32服","31002169","7396642","8","590","taiwanios","016003200310021691522499001134	","2018-03-31 20:23:21"
"台湾31服","30002330","508098536","170","50","taiwanios","180331202203156533	","2018-03-31 20:23:12"
"台湾31服","30001218","110914139","232","2990","taiwanios","016003100300012181522498908264	","2018-03-31 20:21:48"
"台湾1服 ","338","21593781","378","150","taiwanios","016000100000003381522498831332	","2018-03-31 20:20:31"
"台湾32服","31002160","21058326","6","30","taiwanios","016003200310021601522498796583	","2018-03-31 20:19:56"
"台湾23服","22002791","1820180","281","300","taiwanios","180331201235615353	","2018-03-31 20:15:46"
"台湾6服","5003812","508019678","312","1490","taiwanios","016000600050038121522498520697	","2018-03-31 20:15:20"
"台湾31服","30003119","21494666","198","300","taiwanios","016003100300031191522498361410	","2018-03-31 20:12:41"
"台湾30服","29000663","17042072","212","590","taiwanios","016003000290006631522498346859	","2018-03-31 20:12:26"
"台湾32服","31000249","11719003","174","150","taiwanios","016003200310002491522498326057	","2018-03-31 20:12:06"
"台湾32服","31000249","11719003","174","300","taiwanios","016003200310002491522498198521	","2018-03-31 20:09:58"
"台湾4服","3000201","105332913","370","150","taiwanios","180331200834794732	","2018-03-31 20:09:44"
"台湾32服","31002104","108672083","23","30","taiwanios","016003200310021041522498130248	","2018-03-31 20:08:50"
"台湾24服","23000126","19937065","294","300","taiwanios","016002400230001261522498127407	","2018-03-31 20:08:47"
"台湾27服","26000024","11085741","280","150","taiwanios","016002700260000241522498071671	","2018-03-31 20:07:51"
"台湾32服","31002025","23635031","50","150","taiwanios","016003200310020251522497924297	","2018-03-31 20:05:24"
"台湾24服","23000126","19937065","294","150","taiwanios","016002400230001261522497887536	","2018-03-31 20:04:47"
"台湾32服","31002097","3545834","10","30","taiwanios","016003200310020971522497869726	","2018-03-31 20:04:29"
"台湾31服","30000767","7769409","174","150","taiwanios","016003100300007671522497664653	","2018-03-31 20:01:04"
"台湾13服","12003465","105472403","344","150","taiwanios","180331195951470427	","2018-03-31 20:00:47"
"台湾17服","16002809","508016472","333","150","taiwanios","016001700160028091522497629320	","2018-03-31 20:00:29"
"台湾5服","4004179","23746147","304","500","taiwanios","180331195716483358	","2018-03-31 19:59:56"
"台湾5服","4004179","23746147","304","350","taiwanios","180331195843837835	","2018-03-31 19:59:56"
"台湾30服","29000226","110899729","238","1000","taiwanios","180331195848273098	","2018-03-31 19:59:56"
"台湾32服","31001951","110880271","74","30","taiwanios","016003200310019511522497581831	","2018-03-31 19:59:41"
"台湾25服","24001343","508078078","283","30","taiwanios","016002500240013431522497572469	","2018-03-31 19:59:32"
"台湾30服","29001693","508130896","242","1150","taiwanios","180331195523982243	","2018-03-31 19:57:32"
"台湾31服","30000463","507618898","208","150","taiwanios","016003100300004631522497446772	","2018-03-31 19:57:26"
"台湾27服","26003092","508144430","113","30","taiwanios","016002700260030921522497364602	","2018-03-31 19:56:04"
"台湾12服","11003237","110746651","334","590","taiwanios","016001200110032371522497350229	","2018-03-31 19:55:50"
"台湾21服","20000451","507987040","302","150","taiwanios","180331195312617442	","2018-03-31 19:54:29"
"台湾23服","22003059","5079977","278","150","taiwanios","016002300220030591522497114018	","2018-03-31 19:51:54"
"台湾32服","31001926","23909362","82","150","taiwanios","016003200310019261522497006690	","2018-03-31 19:50:06"
"台湾21服","20002087","506721232","293","300","taiwanios","016002100200020871522496985172	","2018-03-31 19:49:45"
"台湾32服","31002015","508148444","19","30","taiwanios","016003200310020151522496973207	","2018-03-31 19:49:33"
"台湾6服","5003812","508019678","312","150","taiwanios","016000600050038121522496935838	","2018-03-31 19:48:55"
"台湾31服","30000463","507618898","208","590","taiwanios","016003100300004631522496915644	","2018-03-31 19:48:35"
"台湾30服","29000611","507741932","222","150","taiwanios","016003000290006111522496869239	","2018-03-31 19:47:49"
"台湾32服","31000249","11719003","166","590","taiwanios","016003200310002491522496842543	","2018-03-31 19:47:22"
"台湾1服 ","10539","23858921","15","30","taiwanios","016000100000105391522496834395	","2018-03-31 19:47:14"
"台湾28服","27001252","7519940","269","150","taiwanios","016002800270012521522496761644	","2018-03-31 19:46:01"
"台湾32服","31002005","17809161","18","30","taiwanios","016003200310020051522496734269	","2018-03-31 19:45:34"
"台湾9服","8000898","107248481","341","350","taiwanios","180331193432486788	","2018-03-31 19:42:55"
"台湾32服","31001768","13254195","112","100","taiwanios","180331193905152495	","2018-03-31 19:40:19"
"台湾31服","30002185","105326089","181","30","taiwanios","016003100300021851522496349753	","2018-03-31 19:39:09"
"台湾21服","20003714","110906977","220","590","taiwanios","016002100200037141522496248890	","2018-03-31 19:37:28"
"台湾32服","31000532","110921625","163","300","taiwanios","016003200310005321522496038678	","2018-03-31 19:33:58"
"台湾30服","29001843","3400512","239","150","taiwanios","016003000290018431522496028830	","2018-03-31 19:33:48"
"台湾29服","28001721","505104374","238","150","taiwanios","016002900280017211522495989464	","2018-03-31 19:33:09"
"台湾32服","31001926","23909362","27","30","taiwanios","016003200310019261522495924151	","2018-03-31 19:32:04"
"台湾31服","30000504","108915477","217","150","taiwanios","016003100300005041522495908311	","2018-03-31 19:31:48"
"台湾29服","28001524","508123274","232","30","taiwanios","016002900280015241522495680280	","2018-03-31 19:28:00"
"台湾5服","4004302","110758927","314","90","taiwanios","180331192258856507	","2018-03-31 19:27:08"
"台湾23服","22000678","508049652","297","150","taiwanios","016002300220006781522495348459	","2018-03-31 19:22:28"
"台湾32服","31001885","508148164","16","30","taiwanios","016003200310018851522495334884	","2018-03-31 19:22:14"
"台湾31服","30002143","1343322","174","150","taiwanios","180331192038232123	","2018-03-31 19:21:42"
"台湾32服","31001879","25952811","18","30","taiwanios","016003200310018791522495220542	","2018-03-31 19:20:20"
"台湾26服","25003915","5768203","244","1490","taiwanios","016002600250039151522495213903	","2018-03-31 19:20:13"
"台湾31服","30002501","508139824","169","590","taiwanios","016003100300025011522495186020	","2018-03-31 19:19:46"
"台湾32服","31000721","11498331","165","150","taiwanios","016003200310007211522495145488	","2018-03-31 19:19:05"
"台湾23服","22000069","13313917","291","30","taiwanios","016002300220000691522495082105	","2018-03-31 19:18:02"
"台湾31服","30002648","5725766","207","590","taiwanios","016003100300026481522495075418	","2018-03-31 19:17:55"
"台湾28服","27001601","5859376","252","90","taiwanios","016002800270016011522494877447	","2018-03-31 19:14:37"
"台湾10服","9002762","17427081","332","3000","taiwanios","180331190934309427	","2018-03-31 19:13:21"
"台湾32服","31001849","3608538","18","30","taiwanios","016003200310018491522494759297	","2018-03-31 19:12:39"
"台湾32服","31001768","13254195","67","500","taiwanios","180331191046945156	","2018-03-31 19:12:19"
"台湾31服","30000665","23676716","221","300","taiwanios","016003100300006651522494696300	","2018-03-31 19:11:36"
"台湾30服","29000775","11535829","237","2000","taiwanios","180331190859451334	","2018-03-31 19:11:04"
"台湾14服","13000604","110774285","340","300","taiwanios","016001400130006041522494653838	","2018-03-31 19:10:53"
"台湾32服","31000421","110742733","50","1000","taiwanios","180331190931943812	","2018-03-31 19:10:34"
"台湾31服","30002200","508139266","174","150","taiwanios","180331184234688596	","2018-03-31 19:07:22"
"台湾32服","31001826","19529645","10","150","taiwanios","016003200310018261522494401467	","2018-03-31 19:06:41"
